BuildingType,PrimaryPropertyType,PropertyName,Address,ZipCode,TaxParcelIdentificationNumber,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SourceEUI(kBtu/sf),SiteEnergyUse(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),DefaultData,ComplianceStatus,TotalGHGEmissions
NonResidential,Small- and Mid-Sized Office,800 Stewart,800 stewart st,98121.0,0660000625,7,DOWNTOWN,47.61524,-122.33519,1978,1.0,5,43506,11250,32256,"Office, Parking",Office,32569.0,Parking,0.0,None,0.0,51.0,229.3000031,3460275.5,0.0,1834098.0,1626177.0,False,Compliant,99.15
NonResidential,Worship Facility,Green Lake United Methodist Church,6415 1st ave ne,98115.0,1257200735,6,Northwest,47.67572,-122.3285,1910,1.0,2,23931,0,23931,Worship Facility,Worship Facility,23931.0,None,0.0,None,0.0,88.0,36.40000153,496477.3125,0.0,167075.0,329402.0,False,Compliant,18.66
NonResidential,Worship Facility,Green Lake Church of Seventh-day Adventists,6350 E Green Lake Way N,98103.0,1257203120,6,Northwest,47.67491,-122.33316,1948,1.0,2,21393,0,21393,Worship Facility,Worship Facility,21393.0,None,0.0,None,0.0,57.0,67.5,845961.375,0.0,266359.0,579602.0,False,Compliant,32.64
NonResidential,Mixed Use Property,WALDEN BUILDING,3031 S WALDEN ST,98144.0,1282301295,2,SOUTHEAST,47.57256,-122.29265,1990,1.0,2,47560,0,47560,"Distribution Center, Non-Refrigerated Warehouse, Office",Distribution Center,23146.0,Non-Refrigerated Warehouse,15724.0,Office,8255.0,80.0,51.09999847,1132490.0,0.0,583296.0,549194.0,False,Compliant,33.23
NonResidential,Senior Care Community,Cabrini Senior Housing,909 Boren Avenue,98104.0,1285700000,3,EAST,47.60897,-122.32507,2006,1.0,6,62334,0,62334,"Bank Branch, Parking, Senior Care Community",Senior Care Community,35696.0,Bank Branch,15661.0,Parking,10877.0,100.0,41.59999847,1076733.25,0.0,481168.0,595565.0,False,Compliant,34.98
NonResidential,University,Beebe,2014 9TH AVE,98121.0,0660001305,7,DOWNTOWN,47.61679,-122.33619,1910,1.0,3,28800,0,28800,College/University,College/University,28800.0,None,0.0,None,0.0,76.0,72.80000305,717056.375,0.0,642346.0,74710.0,False,Compliant,8.45
NonResidential,K-12 School,Ninth & Lenora Building,2030 9th Avenue,98121.0,0660001310,7,DOWNTOWN,47.61718,-122.33654,1957,1.0,2,21600,0,21600,K-12 School,K-12 School,21600.0,None,0.0,None,0.0,72.0,120.3000031,1261537.0,0.0,609724.0,651813.0,False,Compliant,38.87
NonResidential,K-12 School,Spruce Street School,914 Virginia St.,98101.0,0660001365,7,DOWNTOWN,47.61687,-122.33533,1995,1.0,3,22860,0,22860,K-12 School,K-12 School,22860.0,None,0.0,None,0.0,43.0,127.9000015,931148.625,0.0,931148.0,0.0,False,Compliant,6.49
NonResidential,Worship Facility,St. Bridget Church,4900 NE 50th St.,98105.0,1025049150,4,NORTHEAST,47.66516,-122.2738,1972,1.0,1,26366,0,26366,"Parking, Worship Facility",Worship Facility,26386.0,Parking,0.0,None,0.0,88.0,61.0,888032.0,0.0,323802.0,564230.0,False,Compliant,32.22
NonResidential,Worship Facility,Sephardic Bikur Holim Congregation,6500 52nd Avenue South,98118.0,1102000351,2,SOUTHEAST,47.54362,-122.2667,1965,1.0,2,21732,0,21732,Worship Facility,Worship Facility,21732.0,None,0.0,None,0.0,2.0,87.69999695,860364.1875,0.0,479159.0,381205.0,False,Compliant,23.59
NonResidential,Mixed Use Property,Miller-Barringham Building,2417 NW Market ST,98107.0,1125039009,6,BALLARD,47.66835,-122.38886,1945,1.0,1,21060,0,21060,"Non-Refrigerated Warehouse, Office, Other, Retail Store",Non-Refrigerated Warehouse,10495.0,Retail Store,10240.0,Office,1890.0,54.0,37.09999847,350265.0,0.0,258178.0,92087.0,False,Compliant,6.69
NonResidential,Mixed Use Property,Market Street Holdings,2401 NW Market St,98107.0,1125039011,6,BALLARD,47.6684,-122.38788,1960,1.0,4,20539,0,20539,"Medical Office, Multifamily Housing, Office, Restaurant, Retail Store",Retail Store,7387.0,Multifamily Housing,5264.0,Restaurant,3700.0,65.0,198.3999939,1678459.0,0.0,1123427.0,555032.0,False,Compliant,37.31
SPS-District K-12,K-12 School,Sand Point Elementary,6208 60TH AVE NE,98115.0,1125049134,4,NORTHEAST,47.67365,-122.26293,1958,1.0,1,38624,0,38624,K-12 School,K-12 School,41408.0,None,0.0,None,0.0,83.0,76.40000153,1424157.25,0.0,798804.0,625352.0,True,Error - Correct Default Data,38.78
NonResidential,Retail Store,(ID20237) Big 5 Corp,4315 UNIVERSITY WAY NE,98105.0,1142000160,4,NORTHEAST,47.66033,-122.31348,1900,1.0,3,32960,0,32960,Retail Store,Retail Store,32960.0,None,0.0,None,0.0,71.0,77.5,813641.0,0.0,813641.0,0.0,False,Compliant,5.67
NonResidential,Other,neptune theatre bldg,1305 n.e. 45th  #101,98105.0,1142000235,4,NORTHEAST,47.66097,-122.3139,1921,1.0,3,29636,0,29636,"Multifamily Housing, Other - Entertainment/Public Assembly",Other - Entertainment/Public Assembly,25096.0,Multifamily Housing,4540.0,None,0.0,89.0,73.0,688642.0,0.0,688642.0,0.0,False,Compliant,4.8
NonResidential,Hotel,Collegiana Hospitality House,4311 12th Ave NE,98105.0,1142000445,4,NORTHEAST,47.66023,-122.31581,1930,1.0,3,20571,0,20571,Hotel,Hotel,20571.0,None,0.0,None,0.0,72.0,109.3000031,716279.6875,0.0,716279.0,0.0,False,Compliant,4.99
NonResidential,Worship Facility,University Temple United Methodist Church,1415 NE 43rd St.,98105.0,1142001145,4,NORTHEAST,47.65926,-122.31241,1926,1.0,2,47992,0,47992,"Other, Worship Facility",Worship Facility,37800.0,Other,10206.0,None,0.0,17.0,107.1999969,3040196.0,0.0,934028.0,2106168.0,False,Compliant,118.37
NonResidential,Worship Facility,Temple Beth Am,2632 NE 80th St.,98115.0,1513800009,4,NORTHEAST,47.68752,-122.29852,2000,1.0,2,31386,0,31386,Worship Facility,Worship Facility,30000.0,None,0.0,None,0.0,52.0,89.0,1128179.125,0.0,710478.0,417701.0,False,Compliant,27.14
Campus,K-12 School,University Prep Academy,8000 25th Ave NE,98115.0,1513800010,4,NORTHEAST,47.687,-122.30013,1989,5.0,3,21500,0,21500,K-12 School,K-12 School,96154.0,None,0.0,None,0.0,44.0,144.8999939,6689184.0,0.0,3307692.0,3381491.0,False,Compliant,202.65
NonResidential,Small- and Mid-Sized Office,Emerald Landing I,2157 N. Northlake Way,98103.0,4088801740,4,LAKE UNION,47.64834,-122.33188,2012,1.0,2,84116,26497,57619,Office,Office,55000.0,None,0.0,None,0.0,68.0,149.3999939,2641681.75,0.0,2605669.0,36012.0,False,Compliant,20.08
NonResidential,Hotel,Hotel Andra,2000 4th ave,98121.0,1604500000,7,DOWNTOWN,47.61345,-122.34068,1925,1.0,9,104000,0,104000,"Hotel, Restaurant",Hotel,96000.0,Restaurant,8000.0,None,0.0,8.0,176.6000061,8690648.0,3578548.25,4159822.0,952277.0,False,Compliant,355.8
SPS-District K-12,K-12 School,Kimball Elementary,3200 23rd Ave. S.,98144.0,1624049006,2,GREATER DUWAMISH,47.57405,-122.30301,1971,1.0,1,55206,0,55206,K-12 School,K-12 School,55206.0,None,0.0,None,0.0,75.0,96.09999847,2345752.5,0.0,1359846.0,985906.0,True,Error - Correct Default Data,61.84
NonResidential,Senior Care Community,Washington Care Center,2821 S Walden St,98144.0,1624049040,2,SOUTHEAST,47.57188,-122.29531,1981,1.0,3,78374,0,78374,"Parking, Senior Care Community",Senior Care Community,58665.0,Parking,0.0,None,0.0,98.0,177.8000031,3321035.75,0.0,3321035.0,0.0,False,Compliant,23.15
NonResidential,Mixed Use Property,Marine Business Center,801 NW 42nd Street,98107.0,1325039001,6,BALLARD,47.65742,-122.36736,2007,1.0,2,38784,0,38784,"Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,16826.0,Office,16826.0,None,0.0,54.0,153.8999939,1841154.25,0.0,1553414.0,287740.0,False,Compliant,26.11
NonResidential,Other,D W Close Co,3317 3rd Ave S,98134.0,1327300004,2,GREATER DUWAMISH,47.57383,-122.33046,1969,1.0,2,41790,0,41790,"Office, Social/Meeting Hall",Social/Meeting Hall,21790.0,Office,20000.0,None,0.0,89.0,143.8999939,2177075.0,0.0,1782740.0,394335.0,False,Compliant,33.37
NonResidential,Small- and Mid-Sized Office,Holyoke,1018 1st Ave,98104.0,0939000515,7,DOWNTOWN,47.60542,-122.3364,1900,1.0,5,39960,0,39960,"Office, Other",Office,37120.0,Other,2840.0,None,0.0,77.0,131.8000031,2178690.5,0.0,1424622.0,754068.0,False,Compliant,49.98
NonResidential,Warehouse,Meaves Building,1014 First Avenue,98101.0,0939000530,7,DOWNTOWN,47.60528,-122.33627,1900,1.0,5,33300,0,33300,"Non-Refrigerated Warehouse, Retail Store",Non-Refrigerated Warehouse,24000.0,Retail Store,6000.0,None,0.0,60.0,9.5,90559.0,0.0,90559.0,0.0,False,Compliant,0.63
NonResidential,Hotel,The Hotel Seattle,315 Seneca St,98101.0,0942000120,7,DOWNTOWN,47.60721,-122.33451,1926,1.0,11,36240,0,36240,Hotel,Hotel,36240.0,None,0.0,None,0.0,98.0,93.40000153,2147968.25,1158118.25,456350.0,533500.0,False,Compliant,120.91
NonResidential,Other,Womens University Club,1105 6th Ave,98101.0,0942000255,7,DOWNTOWN,47.60781,-122.33186,1922,1.0,3,39320,6960,32360,Social/Meeting Hall,Social/Meeting Hall,39320.0,None,0.0,None,0.0,89.0,136.6999969,3042875.75,1165335.75,957761.0,919779.0,False,Compliant,145.48
NonResidential,Other,First United Methodist Church,801 5th Avenue,98104.0,0942000530,7,DOWNTOWN,47.60547,-122.33118,1908,1.0,5,41536,0,41536,Performing Arts,Performing Arts,41536.0,None,0.0,None,0.0,89.0,206.8000031,2735166.0,0.0,2735166.0,0.0,False,Compliant,19.07
NonResidential,Hotel,REYNOLDS WORK RELEASE,410 4TH AVE,98104.0,0942001120,7,DOWNTOWN,47.60223,-122.32889,1909,1.0,6,35820,0,35820,Hotel,Hotel,35820.0,None,0.0,None,0.0,94.0,155.3000031,3321603.0,0.0,993349.0,2328254.0,False,Compliant,130.58
NonResidential,K-12 School,Holy Rosary School,4142 42nd Ave. SW,98116.0,0952002500,1,SOUTHWEST,47.56542,-122.38502,1922,1.0,2,33462,0,33462,K-12 School,K-12 School,57896.0,None,0.0,None,0.0,76.0,93.09999847,3987216.0,0.0,574940.0,3412276.0,False,Compliant,185.23
NonResidential,K-12 School,Seattle Lutheran High School,4100 SW Genesee St,98116.0,0952002655,1,SOUTHWEST,47.56504,-122.38455,1965,1.0,3,49744,0,49744,K-12 School,K-12 School,49744.0,None,0.0,None,0.0,98.0,64.40000153,2096835.5,0.0,478349.0,1618486.0,False,Compliant,89.29
NonResidential,Worship Facility,Hope Lutheran Church & School,4456 42nd Ave SW,98116.0,0952005960,1,SOUTHWEST,47.56342,-122.38509,1923,1.0,2,37816,0,37816,"K-12 School, Worship Facility",Worship Facility,19407.0,K-12 School,18701.0,None,0.0,60.0,76.30000305,1411305.5,0.0,682782.0,728523.0,False,Compliant,43.45
NonResidential,Mixed Use Property,Lyon's Antique Mall - Windermere/Garlic Jims,4520 California Ave SW,98116.0,0952006290,1,SOUTHWEST,47.5622,-122.38648,1926,0.0,2,23315,0,23315,"Office, Restaurant, Retail Store",Office,7758.0,Retail Store,6919.0,Restaurant,1976.0,52.0,185.6999969,1354000.625,0.0,799029.0,554971.0,False,Compliant,35.04
NonResidential,Mixed Use Property,Matador/Jak's Grill/8 Limbs Yoga/Fitness,4546 California Ave SW,98116.0,0952006350,1,SOUTHWEST,47.56147,-122.38638,1930,1.0,2,20700,0,20700,"Non-Refrigerated Warehouse, Office, Other - Recreation, Restaurant",Non-Refrigerated Warehouse,6900.0,Restaurant,6900.0,Other - Recreation,4323.0,54.0,299.2999878,4265815.0,0.0,821211.0,3444604.0,False,Compliant,188.67
NonResidential,Other,West Seattle Bowl,4505  39th Ave SW,98116.0,0952007220,1,SOUTHWEST,47.56263,-122.38196,1948,1.0,1,41521,13124,28397,"Other - Recreation, Parking, Restaurant",Other - Recreation,26241.0,Parking,13124.0,Restaurant,2574.0,89.0,243.5,3343550.0,0.0,1676726.0,1666824.0,False,Compliant,100.21
NonResidential,Supermarket / Grocery Store,Trader Joe's,4545 Fauntleroy Way SW,98126.0,0952007370,1,SOUTHWEST,47.56197,-122.38109,1946,1.0,2,25762,0,25762,Supermarket/Grocery Store,Supermarket/Grocery Store,25762.0,None,0.0,None,0.0,100.0,232.3999939,1906385.0,0.0,1906385.0,0.0,False,Compliant,13.29
NonResidential,Other,West Seattle Family YMCA,4515 36th Ave SW,98126.0,0952007845,1,SOUTHWEST,47.56245,-122.37805,1984,1.0,1,33334,0,33334,"Fitness Center/Health Club/Gym, Swimming Pool",Fitness Center/Health Club/Gym,50000.0,Swimming Pool,0.0,None,0.0,89.0,232.3000031,6118300.5,0.0,2484706.0,3633594.0,False,Compliant,210.3
NonResidential,Small- and Mid-Sized Office,SK Food Group,4600 37th Ave S.W.,98126.0,0952007920,1,SOUTHWEST,47.56175,-122.37835,1981,1.0,3,43387,0,43387,Office,Office,45000.0,None,0.0,None,0.0,60.0,172.0,2686765.0,0.0,2352594.0,334171.0,False,Compliant,34.15
NonResidential,Mixed Use Property,Lake City Center - Main Building,12701 Lake City Way NE,98125.0,1453600540,5,NORTH,47.72178,-122.29498,1979,1.0,1,39350,0,39350,"Food Service, Retail Store, Supermarket/Grocery Store",Supermarket/Grocery Store,19271.0,Retail Store,19249.0,Food Service,2663.0,39.0,20.39999962,267135.0938,0.0,267135.0,0.0,False,Compliant,1.86
NonResidential,Other,EBBC LCW,12537 Lake CIty Way NE,98125.0,1453600740,5,NORTH,47.72032,-122.29507,1949,0.0,1,22405,0,22405,"Other, Retail Store",Other,11000.0,Retail Store,7500.0,None,0.0,89.0,324.0,3498215.0,0.0,1110079.0,2388136.0,False,Compliant,134.57
SPS-District K-12,Other,Cedar Park Building,13224 37th Ave NE,98125.0,1454100350,5,NORTH,47.72606,-122.28747,2013,1.0,1,32590,0,32590,Other,Other,32590.0,None,0.0,None,0.0,89.0,84.5,1361794.25,0.0,632722.0,729072.0,False,Compliant,43.13
NonResidential,Warehouse,Central Park,5614 7th Ave S,98108.0,1486300005,2,GREATER DUWAMISH,47.552,-122.32262,1985,1.0,1,37500,0,37500,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,61419.0,None,0.0,None,0.0,36.0,92.19999695,1811506.375,0.0,1799898.0,11608.0,False,Compliant,13.16
NonResidential,Medical Office,Seattle Children's Hospital Odessa Brown Children's Clinic,2101 E. Yesler Way,98122.0,1493600000,3,CENTRAL,47.60132,-122.30477,1990,1.0,2,39000,0,39000,Medical Office,Medical Office,39000.0,None,0.0,None,0.0,25.0,192.3000031,2615247.75,0.0,2275174.0,340073.0,False,Compliant,33.92
NonResidential,Other,NW ART AND FRAME/HUSKY ICE CREAM,4721 CALIFORNIA AVE SW,98116.0,1495300045,1,SOUTHWEST,47.56018,-122.38716,1924,1.0,1,22180,0,22180,"Other - Mall, Restaurant",Other - Mall,14000.0,Restaurant,8180.0,None,0.0,89.0,492.7000122,5089083.0,0.0,2671917.0,2417166.0,False,Compliant,147.0
SPS-District K-12,K-12 School,Beacon Hill International Elementary,2025 14th Ave. S.,98144.0,1498300850,2,GREATER DUWAMISH,47.58547,-122.3151,1971,1.0,1,51704,0,51704,K-12 School,K-12 School,51704.0,None,0.0,None,0.0,62.0,83.69999695,1799402.75,0.0,1167845.0,631557.0,True,Error - Correct Default Data,41.68
NonResidential,Distribution Center,2001 Plum LLC,2001 South Plum Street,98144.0,1498302035,2,GREATER DUWAMISH,47.58513,-122.30645,1969,1.0,1,25920,0,25920,"Distribution Center, Office, Refrigerated Warehouse",Distribution Center,19277.0,Refrigerated Warehouse,4051.0,Office,2592.0,56.0,140.8000031,1219745.0,0.0,1133481.0,86264.0,False,Compliant,12.48
NonResidential,Refrigerated Warehouse,oriental meats,2001 21st Ave S,98144.0,1498302080,2,GREATER DUWAMISH,47.58528,-122.30595,1953,1.0,1,25480,0,25480,Refrigerated Warehouse,Refrigerated Warehouse,25480.0,None,0.0,None,0.0,75.0,91.40000153,741287.1875,0.0,741287.0,0.0,False,Compliant,5.17
NonResidential,Warehouse,MB Warehouse LLC,2028 21st Ave S,98144.0,1498302235,2,GREATER DUWAMISH,47.58482,-122.30501,1970,1.0,2,31000,0,31000,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,31000.0,None,0.0,None,0.0,60.0,227.3999939,2301043.75,0.0,2216816.0,84227.0,False,Compliant,19.93
NonResidential,Small- and Mid-Sized Office,ABM/ Johnson Barrow,2001 22nd ave. S.,98144.0,1498302245,2,GREATER DUWAMISH,47.58528,-122.305,1961,1.0,1,29740,0,29740,"Non-Refrigerated Warehouse, Office",Office,17804.0,Non-Refrigerated Warehouse,12208.0,None,0.0,57.0,139.0,1467060.25,0.0,1259195.0,207865.0,False,Compliant,19.82
NonResidential,Distribution Center,"Kusak Cut Glass Works, Inc.",1911 22nd Avenue S,98144.0,1498302345,2,GREATER DUWAMISH,47.58607,-122.30445,1954,1.0,1,23236,0,23236,"Distribution Center, Office, Retail Store",Distribution Center,20736.0,Office,1250.0,Retail Store,1250.0,56.0,39.20000076,433871.0,0.0,217294.0,216577.0,False,Compliant,13.02
NonResidential,Small- and Mid-Sized Office,Wellspring Family Services,1900 Rainier AVE S,98144.0,1498302455,2,SOUTHEAST,47.58579,-122.3034,2009,1.0,3,38075,0,38075,"K-12 School, Office, Retail Store",Office,29035.0,K-12 School,6213.0,Retail Store,2825.0,73.0,151.8000031,1921801.25,0.0,1799412.0,122389.0,False,Compliant,19.04
NonResidential,Small- and Mid-Sized Office,American Red Cross,1900 25th Ave S,98144.0,1498303300,3,SOUTHEAST,47.5859,-122.29957,1970,1.0,2,39170,0,39170,Office,Office,35500.0,None,0.0,None,0.0,81.0,126.9000015,2130674.0,0.0,1085835.0,1044839.0,False,Compliant,63.06
Nonresidential COS,Other,Amy Yee Tennis Center,2000 M L King Jr Way S,98134.0,1498303565,3,SOUTHEAST,47.58476,-122.29765,1977,0.0,1,36070,0,36070,Other - Recreation,Other - Recreation,66597.0,None,0.0,None,0.0,89.0,68.0,1441665.375,0.0,1441665.0,0.0,False,Compliant,10.05
NonResidential,Other,(ID20541) MYCON'S USED CARS,3711 RAINIER AVE S,98144.0,1624049229,2,SOUTHEAST,47.56979,-122.29234,1963,1.0,2,20047,0,20047,Other - Services,Other - Services,20047.0,None,0.0,None,0.0,89.0,18.39999962,117438.3984,0.0,117438.0,0.0,False,Compliant,0.82
NonResidential,Retail Store,OLD WESTERN STEEL CASTING CO,3300 1ST AVE S,98134.0,1327300008,2,GREATER DUWAMISH,47.57403,-122.3336,1914,1.0,1,20000,0,20000,Retail Store,Retail Store,20000.0,None,0.0,None,0.0,75.0,87.59999847,557864.0,0.0,557864.0,0.0,False,Compliant,3.89
NonResidential,Warehouse,3300,3300 6th Avenue South,98134.0,1327300012,2,GREATER DUWAMISH,47.5741,-122.32541,1955,1.0,2,32400,0,32400,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,32700.0,None,0.0,None,0.0,91.0,23.89999962,248616.0,0.0,248616.0,0.0,False,Compliant,1.73
NonResidential,Supermarket / Grocery Store,Safeway 0368 - Queen Anne,2100 Queen Anne Ave N,98109.0,1794500895,7,MAGNOLIA / QUEEN ANNE,47.63776,-122.35606,1962,1.0,1,25159,0,25159,"Parking, Supermarket/Grocery Store",Supermarket/Grocery Store,25883.0,Parking,0.0,None,0.0,38.0,755.2000122,8905287.0,0.0,4878886.0,4026400.0,False,Compliant,247.85
Nonresidential COS,Other,Queen Anne Community Center,1901 1st Ave W,98119.0,1794501150,7,MAGNOLIA / QUEEN ANNE,47.63629,-122.35922,1948,1.0,1,27247,0,27247,"Fitness Center/Health Club/Gym, Office, Other - Recreation, Pre-school/Daycare",Other - Recreation,14317.0,Fitness Center/Health Club/Gym,7701.0,Pre-school/Daycare,3045.0,89.0,166.5,2332996.5,0.0,884313.0,1448683.0,False,Compliant,83.1
NonResidential,Distribution Center,MCNIVEN,20-24 S. Idaho Street,98134.0,1824049012,2,GREATER DUWAMISH,47.56489,-122.3409,1955,1.0,1,26680,0,26680,Distribution Center,Distribution Center,33987.0,None,0.0,None,0.0,92.0,22.5,243518.2031,0.0,243518.0,0.0,False,Compliant,1.7
NonResidential,Warehouse,VISKO BUILDING,4229 WEST MARGINAL WAY SW,98106.0,1824049044,1,DELRIDGE,47.56447,-122.35335,1953,1.0,1,31521,0,31521,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,31521.0,None,0.0,None,0.0,6.0,107.4000015,1788148.0,0.0,720945.0,1067203.0,False,Compliant,61.71
NonResidential,Warehouse,QFC Warehouse,3663 1st Avenue S,98134.0,1824049069,2,GREATER DUWAMISH,47.56982,-122.33479,1951,1.0,1,24000,0,24000,"Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,20400.0,Office,3600.0,None,0.0,60.0,93.0,1257033.5,0.0,436193.0,820840.0,False,Compliant,46.64
NonResidential,Self-Storage Facility,HGA Investment LLC,14 S Idaho St,98134.0,1824049070,2,GREATER DUWAMISH,47.56487,-122.34181,1952,1.0,1,21900,0,21900,Self-Storage Facility,Self-Storage Facility,21900.0,None,0.0,None,0.0,76.0,74.59999847,1333638.0,0.0,112187.0,1221451.0,False,Compliant,65.65
NonResidential,Retail Store,Seattle Habitat Store,21 S Nevada St,98134.0,1824049074,2,GREATER DUWAMISH,47.56535,-122.34054,1953,1.0,1,39900,0,39900,"Non-Refrigerated Warehouse, Retail Store",Retail Store,25000.0,Non-Refrigerated Warehouse,15000.0,None,0.0,100.0,6.400000095,145469.0,0.0,49005.0,96464.0,True,Error - Correct Default Data,5.46
NonResidential,Warehouse,"Compton Lumber Co., Inc",3847  1st Avenue South,98134.0,1824049075,2,GREATER DUWAMISH,47.56897,-122.33617,1961,1.0,1,38005,0,38005,"Non-Refrigerated Warehouse, Office, Self-Storage Facility",Non-Refrigerated Warehouse,21560.0,Self-Storage Facility,10974.0,Office,5471.0,60.0,55.59999847,752094.0,0.0,632708.0,119386.0,False,Compliant,10.75
NonResidential,Distribution Center,3851 Distribution Center,3851 1st Ave S,98134.0,1824049109,2,GREATER DUWAMISH,47.5678,-122.33622,1998,1.0,1,35579,0,35579,Distribution Center,Distribution Center,35579.0,None,0.0,None,0.0,72.0,56.79999924,1096646.25,0.0,416047.0,680599.0,False,Compliant,39.05
NonResidential,Distribution Center,3317,3317 6th Avenue South,98134.0,1327300065,2,GREATER DUWAMISH,47.57382,-122.32672,1975,1.0,1,49950,0,49950,Distribution Center,Distribution Center,49950.0,None,0.0,None,0.0,77.0,15.0,238970.0,0.0,238970.0,0.0,False,Compliant,1.67
SPS-District K-12,K-12 School,Stevens Elementary,1242 18th Ave. E.,98112.0,1337801270,3,EAST,47.6315,-122.30761,2001,1.0,3,62078,0,62078,K-12 School,K-12 School,62078.0,None,0.0,None,0.0,97.0,71.80000305,1955013.5,0.0,1151755.0,803258.0,True,Error - Correct Default Data,50.69
NonResidential,Worship Facility,Magnolia United Church of Christ,3555 West McGraw Street,98199.0,1370802570,7,MAGNOLIA / QUEEN ANNE,47.63927,-122.4032,1947,1.0,2,22612,0,22612,Worship Facility,Worship Facility,22612.0,None,0.0,None,0.0,87.0,48.5,731322.0,0.0,156920.0,574402.0,False,Compliant,31.6
NonResidential,Other,Toyota of Lake City,13355 Lake City Way NE,98125.0,1453600005,5,NORTH,47.72599,-122.29314,1976,1.0,2,38787,0,38787,"Automobile Dealership, Parking",Automobile Dealership,38787.0,Parking,0.0,None,0.0,89.0,206.6999969,3204685.5,0.0,2225423.0,979262.0,False,Compliant,67.52
NonResidential,Self-Storage Facility,Lake City Mini Storage,3136 NE 130th St,98125.0,1453600301,5,NORTH,47.72356,-122.29378,1988,2.0,2,50368,0,50368,Self-Storage Facility,Self-Storage Facility,50369.0,None,0.0,None,0.0,76.0,26.0,753275.1875,0.0,247692.0,505583.0,False,Compliant,28.58
NonResidential,Warehouse,Mallory Safety & Supply LLC,5510 E Marginal Way South,98134.0,1722802630,2,GREATER DUWAMISH,47.55302,-122.33605,1938,1.0,1,30545,0,30545,"Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,23545.0,Office,7000.0,None,0.0,12.0,87.19999695,1577041.0,0.0,481781.0,1095260.0,False,Compliant,61.53
NonResidential,K-12 School,St. Anne School,101 W. Lee St.,98112.0,1731800825,7,MAGNOLIA / QUEEN ANNE,47.63111,-122.35814,1922,1.0,3,32691,0,32691,K-12 School,K-12 School,33550.0,None,0.0,None,0.0,99.0,59.90000153,971990.3125,0.0,472481.0,499509.0,False,Compliant,29.82
NonResidential,Worship Facility,St. Anne Church & Rectory,1411 1st Ave.,98119.0,1731801135,7,MAGNOLIA / QUEEN ANNE,47.63159,-122.35839,1963,1.0,2,24227,0,24227,Worship Facility,Worship Facility,26210.0,None,0.0,None,0.0,55.0,61.0,1086678.125,0.0,219393.0,867285.0,False,Compliant,47.59
NonResidential,Distribution Center,Dekeriver LLC,1900 S Corgiat Drive,98108.0,1753700330,2,GREATER DUWAMISH,47.54365,-122.30785,1956,1.0,1,27000,0,27000,Distribution Center,Distribution Center,27000.0,None,0.0,None,0.0,61.0,51.70000076,651293.3125,0.0,341140.0,310153.0,False,Compliant,18.85
SPS-District K-12,K-12 School,TOPS K-8,2500 Franklin Ave. E.,98102.0,1959700005,4,LAKE UNION,47.64252,-122.32418,1999,1.0,3,95501,0,95501,K-12 School,K-12 School,95501.0,None,0.0,None,0.0,88.0,79.09999847,3009967.0,0.0,2100632.0,909335.0,True,Error - Correct Default Data,62.94
NonResidential,Small- and Mid-Sized Office,SPRAG,2517 Eastlake Ave E,98104.0,1959700023,4,LAKE UNION,47.64243,-122.32618,1957,1.0,2,21183,0,21183,"Office, Parking",Office,13945.0,Parking,7238.0,None,0.0,99.0,81.40000153,361542.0938,0.0,361542.0,0.0,False,Compliant,2.52
NonResidential,Small- and Mid-Sized Office,Eastlake Professional Center,2633 EASTLAKE AVE E #307,98102.0,1959700075,4,LAKE UNION,47.64428,-122.32627,1961,1.0,3,29392,3834,25558,"Office, Parking",Office,29392.0,Parking,3834.0,None,0.0,91.0,79.30000305,755618.1875,0.0,735889.0,19729.0,False,Compliant,6.18
NonResidential,Large Office,Eastlake Center (North & South),2825 Eastlake AVE E,98102.0,1959701300,4,LAKE UNION,47.6465,-122.3252,1985,1.0,5,137738,55504,82234,"Office, Other, Parking",Office,77796.0,Parking,55504.0,Other,4438.0,62.0,179.6999969,4704936.5,0.0,4704936.0,0.0,False,Compliant,32.8
NonResidential,Large Office,Stone 34,3400 Stone Way N,98103.0,1825049072,4,LAKE UNION,47.64868,-122.34254,2013,1.0,5,206126,79284,126842,"Office, Other, Parking, Restaurant",Office,101941.0,Parking,73177.0,Other,8324.0,98.0,110.5999985,4489661.0,0.0,3601473.0,887828.0,False,Compliant,72.26
